2020	Original Gangster	Paul Pendergast	4.1	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/original_gangster_2020
2022	A Cut Above	Fermín Álvarez	3.8	Una película aburrida	https.//forummovies.org/reviews/fermín_álvarez/a_cut_above_2022
2020	An English Haunting	Paul Pendergast	3.3	Una película aburrida	https.//forummovies.org/reviews/paul_pendergast/an_english_haunting_2020
1967	The Taming of The Shrew	Luisa Molina	6.1	Una buena película para ver con tu pareja	https.//foro_pelis.es/luisam/luisa_molina/the_taming_of_the_shrew_1967
2010	Elite Squad 2: The Enemy Within	Paul Pendergast	7.0	Película entretenida para pasar el rato	https.//forummovies.org/reviews/paul_pendergast/elite_squad_2:_the_enemy_within_2010
1975	Breakout	Claire Johnson	5.8	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/breakout_1975
1991	All I Want for Christmas	Carlos Alonso	4.5	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/all_i_want_for_christmas_1991
2005	The Marksman	Claire Johnson	4.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/the_marksman_2005
2018	Armenian Haunting	Paula Lago	1.5	Una película aburrida	https.//cinemanía.com/paula/paula_lago/armenian_haunting_2018
2020	The Thousand Faces of Dunjia	Paul Pendergast	4.6	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/paul_pendergast/the_thousand_faces_of_dunjia_2020
1974	Double Agent 73	Paula Lago	2.8	Una película aburrida	https.//cinemanía.com/paula/paula_lago/double_agent_73_1974
2021	Christmas in the Wilds	Phill Freeman	4.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/christmas_in_the_wilds_2021
2012	The Accidental Missionary	Luisa Molina	4.9	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/the_accidental_missionary_2012
1980	Dressed to Kill	Paul Pendergast	6.1	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/paul_pendergast/dressed_to_kill_1980
1951	A Christmas Carol	Phill Freeman	5.8	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/a_christmas_carol_1951
2019	Balloon	Phill Freeman	5.9	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/balloon_2019
1999	Titus	Oscar Gutiérrez	6.1	Película entretenida para pasar el rato	https.//palomitas.com/películas/oscar_gutiérrez/titus_1999
1991	All I Want for Christmas	Carlos Alonso	4.2	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/all_i_want_for_christmas_1991
1939	Made for Each Other	Carlos Alonso	5.3	Una buena película para ver con tu pareja	https.//palomitas.com/películas/carlos_alonso/made_for_each_other_1939
1991	Star Trek VI: The Undiscovered Country	Carlos Alonso	6.2	Película entretenida para pasar el rato	https.//palomitas.com/películas/carlos_alonso/star_trek_vi:_the_undiscovered_country_1991
1982	Kono ko no nanatsu no oiwai ni	Luisa Molina	4.6	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/kono_ko_no_nanatsu_no_oiwai_ni_1982
1995	Hart to Hart: Secrets of the Hart	Claire Johnson	5.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/claire_johnson/hart_to_hart:_secrets_of_the_hart_1995
1985	White Slave	Oscar Gutiérrez	3.7	Una película aburrida	https.//palomitas.com/películas/oscar_gutiérrez/white_slave_1985
2021	The Miss OTB Scandal	Phill Freeman	2.9	Una película aburrida	https.//forummovies.org/reviews/phill_freeman/the_miss_otb_scandal_2021
2010	Morning Glory	Paul Pendergast	5.6	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/paul_pendergast/morning_glory_2010
1993	Puppet Master 4	Phill Freeman	4.2	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/puppet_master_4_1993
